CODE,WINDOWS,WINDOWS,ITEM,UNIT,QTY,RATE,TOTAL
,TIMBER DECKS,TIMBER DECKS,90 x 19 HARDWOOD DECKING,,,,
,TIMBER DECKS,TIMBER DECKS,90 x 19 TREATED PINE DECKING,,,,
,TIMBER DECKS,TIMBER DECKS,140 x 19 HARDWOOD DECKING,,,,
,EXTERIOR STAIRS,EXTERIOR STAIRS,93 x 19 HARDWOOD DECKING,,,,
,,,,,,,
,,,,,,,
CODE,EXTERIOR BALUSTRADE,,ITEM,UNIT,QTY,RATE,TOTAL
,BALUSTRADE,DECK/BALCONY ETC BALUSTRADE,BUILDERS RANGE,LM,,,
,BALUSTRADE,BALUSTRADE,BUILDERS RANGE BALUSTRADE,LM,,,
,BALUSTRADE,BALUSTRADE,SEMI FRAMELESS GLASS BALUSTRADE,LM,,,
,BALUSTRADE,BALUSTRADE,FRAMELESS GLASS BALUSTRADE,LM,,,
,,,,,,,
,,,,,,,
CODE,INTERNAL PLASTERING,,ITEM,UNIT,QTY,RATE,TOTAL
,PLASTERER - SUPPLY AND INSTALL,CORNICE,55mm COVE CORNICE,LM,,,
,PLASTERER - SUPPLY AND INSTALL,CORNICE,90mm COVE CORNICE,LM,,,
,PLASTERER - SUPPLY AND INSTALL,CORNICE,SQUARE SET CEILINGS,M2,,,
,PLASTERING EXTRAS,CORNICE,MISC CORNICES (PC ALLOWANCE),M2,,,
,,,,,,,
CODE,STAIRS,,ITEM,UNIT,QTY,RATE,TOTAL
,STAIRS,TIMBER STAIRS,TIMBER STAIRS FINISH,ITEM,,,
,STAIRS,TIMBER STAIRS,SAND AND POLISH STAIRS,,,,
,STAIRS,TIMBER STAIRS,MONO STRINGER STAIR STRINGERS,,,,
,STAIRS,TIMBER STAIRS,STAIR LANDING,,,,
,BALUSTRADE,BALUSTRADE,BUILDERS RANGE BALUSTRADE,ITEM,,,
,BALUSTRADE,BALUSTRADE,SEMI FRAMELESS GLASS BALUSTRADE,ITEM,,,
,BALUSTRADE,BALUSTRADE,FRAMELESS GLASS BALUSTRADE,ITEM,,,
,HANDRAILS,HANDRAILS,TIMBER HANDRAILS,ITEM,,,
,BALUSTRADE,BALUSTRADE,BUILDERS RANGE BALUSTRADE,,,,
,BALUSTRADE,BALUSTRADE,SEMI FRAMELESS GLASS BALUSTRADE,,,,
,BALUSTRADE,BALUSTRADE,FRAMELESS GLASS BALUSTRADE,,,,
,,,,,,,
,,,,,,,
CODE,FIX OUT,,ITEM,UNIT,QTY,RATE,TOTAL
,INTERNAL DOORS,INTERNAL DOORS,HUME BUILDERS RANGE DOORS AS PER PLANS,,,,
,INTERNAL DOORS,INTERNAL DOORS,HUME PREMIUM DOORS AS PER PLANS,,,,
,FIX OUT,SKIRTING,68 x 11 SPLAYED SKIRTING,LM,,,
,FIX OUT,SKIRTING,68 x 11 BULLNOSE SKIRTING,LM,,,
,FIX OUT,SKIRTING,68 x 11 COLONIAL SKIRTING,LM,,,
,FIX OUT,ARCHITRAVES,42 x 11 SPLAYED SKIRTING,LM,,,
,FIX OUT,ARCHITRAVES,42 x 11 BULLNOSE SKIRTING,LM,,,
,FIX OUT,ARCHITRAVES,42 x 11 COLONIAL SKIRTING,LM,,,
,STANDARD WARDROBES DOORS,WARDROBES DOORS,WARDROBES DOORS - VINYL,EACH,,,
,STANDARD WARDROBES DOORS,WARDROBES DOORS,WARDROBES DOORS - MIRROR,EACH,,,
,STANDARD WARDROBES DOORS,WARDROBES DOORS,WARDROBES DOORS - FRAMELESS GLASS,EACH,,,
,SHELVING,SHELVING,LINEN SHELVING - 4 SHELVES,LM,,,
,SHELVING,SHELVING,PANTRY SHELVING - 5 SHELVES,,,,
,SHELVING,SHELVING,ROBE SHELVING - 1 SHELF & RAIL,LM,,,
,SHELVING,SHELVING,ROBE - 1 FULL SHELF & RAIL & BANK OF SHELVES,EACH,,,
,SHELVING,SHELVING,BANK OF SHELVES,EACH,,,
,,,,,,,
,,,,,,,
CODE,CABINETRY,CABINETRY,ITEM,UNIT,QTY,RATE,TOTAL
,,,,,,,
,,KITCHEN,,,,,
,CABINET MAKER,KITCHEN,BASE CABINETS - STD COLOUR BOARD,LM,,,
,CABINET MAKER,KITCHEN,BASE CABINETS - 2 PACK FINISH,LM,,,
,CABINET MAKER,KITCHEN,BASE KITCHEN CABINETS - SHAKER STYLE,LM,,,
,CABINET MAKER,KITCHEN,ISLAND BENCH BACK PANELS,LM,,,
