pack_id,pack_source_row_id,brand,pack_name,pack_price,component_product_id,component_source_row_id,component_family,contains_oven,contains_cooktop,contains_rangehood,contains_dishwasher,contains_microwave,contains_refrigerator,contains_freestanding_cooker,contains_other_appliance_component,unresolved_component_families
pack:appliances:westinghouse:westinghouse-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1317,Westinghouse,WESTINGHOUSE PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,2746,product:appliances:rangehoods:westinghouse:wri930sb,1322,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:westinghouse:westinghouse-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,1317,Westinghouse,WESTINGHOUSE PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,2746,product:appliances:dishwashers:westinghouse:wsf6606x,1323,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1324,Westinghouse,WESTINGHOUSE PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,5196,product:appliances:ovens:westinghouse:wve916sc,1325,ovens,true,true,true,true,false,false,false,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1324,Westinghouse,WESTINGHOUSE PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,5196,product:appliances:cooktops:westinghouse:whg958sc,1326,cooktops,true,true,true,true,false,false,false,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1324,Westinghouse,WESTINGHOUSE PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,5196,product:appliances:rangehoods:westinghouse:wri930sb,1327,rangehoods,true,true,true,true,false,false,false,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,1324,Westinghouse,WESTINGHOUSE PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,5196,product:appliances:dishwashers:westinghouse:wsf6606x,1328,dishwashers,true,true,true,true,false,false,false,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,1329,Westinghouse,WESTINGHOUSE PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,4496,product:appliances:freestanding-cookers:westinghouse:wfe9515sd,1330,freestanding-cookers,true,true,true,true,false,false,false,false,ovens|cooktops
pack:appliances:westinghouse:westinghouse-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,1329,Westinghouse,WESTINGHOUSE PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,4496,product:appliances:rangehoods:westinghouse:wrc914sd,1331,rangehoods,true,true,true,true,false,false,false,false,ovens|cooktops
pack:appliances:westinghouse:westinghouse-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,1329,Westinghouse,WESTINGHOUSE PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,4496,product:appliances:dishwashers:westinghouse:wsf6606x,1332,dishwashers,true,true,true,true,false,false,false,false,ovens|cooktops
pack:appliances:westinghouse:westinghouse-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,1333,Westinghouse,WESTINGHOUSE PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,2842,product:appliances:freestanding-cookers:westinghouse:wfe9515sd,1334,freestanding-cookers,false,false,true,true,false,false,true,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,1333,Westinghouse,WESTINGHOUSE PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,2842,product:appliances:rangehoods:westinghouse:wrf910wa,1335,rangehoods,false,false,true,true,false,false,true,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,1333,Westinghouse,WESTINGHOUSE PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,2842,product:appliances:dishwashers:westinghouse:wsf6606x,1336,dishwashers,false,false,true,true,false,false,true,false,
pack:appliances:westinghouse:westinghouse-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,1337,Westinghouse,WESTINGHOUSE PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,2541,product:appliances:rangehoods:westinghouse:wrc914sd,1338,rangehoods,false,false,true,true,false,false,true,false,freestanding-cookers
pack:appliances:westinghouse:westinghouse-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,1337,Westinghouse,WESTINGHOUSE PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,2541,product:appliances:rangehoods:westinghouse:wrf910wa,1339,rangehoods,false,false,true,true,false,false,true,false,freestanding-cookers
pack:appliances:westinghouse:westinghouse-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,1337,Westinghouse,WESTINGHOUSE PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,2541,product:appliances:dishwashers:westinghouse:wsf6606x,1340,dishwashers,false,false,true,true,false,false,true,false,freestanding-cookers
