brand,products,packages,logo_url,logo_status,logo_source_url,homepage_url,checked_at
Ariston,14,6,https://ariston.com.au/media/Ariston-brand-logo.jpg,official-source-referenced,https://ariston.com.au/,https://ariston.com.au/,2026-09-03
Blanco,14,5,https://www.blanco.au/_nuxt/logo-white.141..svg,official-source-referenced,https://www.blanco.au/,https://www.blanco.au/,2026-09-03
Euromaid,14,6,https://www.euromaid.com/themes/custom/euromaid/logo.svg,official-source-referenced,https://www.euromaid.com/en-au,https://www.euromaid.com/en-au,2026-09-03
Omega,13,6,https://images.squarespace-cdn.com/content/v1/6434bb26a48593544005e14d/9b138388-50de-48a9-9b45-95acb9e1c700/Omega_black_logo_transparent.png?format=1500w,official-source-referenced,https://omegaappliances.com.au/,https://omegaappliances.com.au/,2026-09-03
Smeg,14,6,https://www.smeg.com/webfiles/1786010670655/images/smeg_logo_black.svg,official-source-referenced,https://www.smeg.com/au,https://www.smeg.com/au,2026-09-03
Westinghouse,14,6,https://www.westinghouse.com.au/contentassets/187af942684545628d9d3bbce68f35b9/westinghouse-logo-full-.svg,official-source-referenced,https://www.westinghouse.com.au/,https://www.westinghouse.com.au/,2026-09-03
